,,,,,,,,,,,,,,,,,
Giaco,1,Funct,,,,,,6,Asymm,,,,,,,,
,Asymm,,A,Ai,B,Bi,,Asymm,,A,Ai,B,Bi,,,,
,,A,Ok,Ok,Ok,Ok,,,A,Ok,Ok,Ok,Ok,,,,
,,Ai,Ok,Ok,Ok,Ok,,,Ai,Ok,Ok,Ok,Ok,,,,
,,B,Ok,Ok,Ok,Ok,,,B,Ok,Ok,Ok,Ok,,,,
,,Bi,Ok,Ok,Ok,Ok,,,Bi,Ok,Ok,OK,Ok,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,6,Asymm,,,,,,,,
,2,iFunct,,,,,,Ref,,A,Ai,B,Bi,,,,
,Asymm,,A,Ai,B,Bi,,,A,X,X,OK,Ok,,,,
,,A,Ok,Ok,Ok,Ok,,,Ai,X,X,Ok,Ok,,,,
,,Ai,Ok,Ok,Ok,Ok,,,B,X,X,X,X,,,,
,,B,Ok,Ok,Ok,Ok,,,Bi,X,X,X,X,,,,
,,Bi,Ok,Ok,Ok,Ok,,,,,,,,,,,
,,,,,,,,f,Asymm,,,,,,,,
,7,Irref,,,,,,Irref,,A,Ai,B,Bi,,,,
,Asymm,,A,Ai,B,Bi,,,A,Ok,Ok,Ok,Ok,,,,
,,A,Ok,Ok,Ok,Ok,,,Ai,Ok,Ok,Ok,Ok,,,,
